Processor,Model,Cores,Threads,Clock rate_base,Clock rate_max,Clock rate_turbo,Clock rate_turbo boost,IGPU,IGPU_Clock,IGPU_EUs,Smart cache_MB,TDP_Watts,Price,Socket,Launch
Core i5,11300H ,4,8,2.6 GHz,4.4 GHz,N/A,N/A,UHD ,1.30 GHz,80,8,28,,FCBGA1449,Q1 2021
Core i5,1155G7,4,8,1.0 GHz,4.5 GHz,N/A,N/A,UHD ,1.35 GHz,80,8,15,,FCBGA1449,Q2 2021
Core i5,1145G7,4,8,1.1 GHz,4.4 GHz,N/A,N/A,UHD ,1.30 GHz,80,8,15,,FCBGA1449,Q1 2021
Core i5,1145G7E,4,8,1.5 GHz,4.1 GHz,N/A,N/A,UHD ,1.30 GHz,80,8,15,,FCBGA1449,Q3 2020
Core i5,1145G7E,4,8,1.5 GHz,4.1 GHz,N/A,N/A,UHD ,1.30 GHz,80,8,15,,FCBGA1449,Q3 2020
Core i5,1135G7,4,8,0.9 GHz,4.2 GHz,N/A,N/A,UHD ,1.30 GHz,80,8,15,,FCBGA1449,Q3 2020
Core i5,1130G7,4,8,0.8 GHz,4.0 GHz,N/A,N/A,UHD ,1.10 GHz,80,8,15,,FCBGA1598,Q3 2020
Core i5,1140G7,4,8,0.8 GHz,4.2 GHz,N/A,N/A,UHD ,1.10 GHz,80,8,7,,FCBGA1598,Q1 2021
Core i3,11100HE,4,8,1.9 GHz,4.4 GHz,N/A,N/A,UHD ,1.25 GHz,16,8,35,,FCBGA1787,Q3 2021
Core i3,1125G4,4,8,0.9 GHz,3.7 GHz,N/A,N/A,UHD ,1.25 GHz,48,8,15,,FCBGA1449,Q1 2021
Core i3,1125G4,4,8,0.9 GHz,3.7 GHz,N/A,N/A,UHD ,1.25 GHz,48,8,15,,FCBGA1449,Q1 2021
Core i3,1120G4,4,8,0.8 GHz,3.5 GHz,N/A,N/A,UHD ,1.10 GHz,48,8,7,,FCBGA1598,Q1 2021
Core i3,1115GRE,2,4,1.7 GHz,3.9 GHz,N/A,N/A,UHD ,1.25 GHz,48,6,15,,FCBGA1449,Q3 2020
Core i3,1115G4E,2,4,1.7 GHz,3.9 GHz,N/A,N/A,UHD ,1.25 GHz,48,6,15,,FCBGA1449,Q3 2020
Core i3,1115G4,2,4,1.7 GHz,4.1 GHz,N/A,N/A,UHD ,1.25 GHz,48,6,15,,FCBGA1449,Q3 2020
Core i3,1115G4,2,4,1.7 GHz,4.1 GHz,N/A,N/A,UHD ,1.25 GHz,48,6,15,,FCBGA1449,Q3 2020
Core i3,1110G4,2,4,1.7 GHz,3.9 GHz,N/A,N/A,UHD ,1.10 GHz,48,6,7,,FCBGA1598,Q3 2020
Pentium,Gold 7505,2,4,2.0 GHz,3.9 GHz,N/A,N/A,UHD ,1.25 GHz,48,4,7,,FCBGA1449,Q4 2020
Celeron,6600HE,2,2,2.6 GHz,N/A,N/A,N/A,UHD ,1.10 GHz,16,8,35,,FCBGA1787,Q3 2021
Celeron,6305,2,2,1.8 GHz,N/A,N/A,N/A,UHD ,1.25 GHz,48,4,15,,FCBGA1449,Q4 2020
Celeron,6305E,2,2,1.8 GHz,N/A,N/A,N/A,UHD ,1.25 GHz,48,4,15,,FCBGA1449,Q4 2020
