Model,Cores,Threads,Clock rate_base,Clock rate_max,Clock rate_turbo,Clock rate_turbo boost,IGPU,IGPU_Clock,IGPU_EUs,Smart cache_MB,TDP_Watts,Price,Socket,Launch
1180G7,4,8,0.9 GHz,4.6 GHz,,,UHD ,1.10 GHz,96.0,12,7,,FCBGA1598,Q1 2021
1160G7 ,4,8,0.9 GHz,4.4 GHz,,,UHD ,1.10 GHz,96.0,12,7,,FCBGA1598,Q3 2020
11500H,6,12,2.4 GHz,4.6 GHz,,,UHD ,1.45 GHz,32.0,12,35,,FCBGA1787,Q2 2021
11500HE,6,12,2.1 GHz,4.5 GHz,,,UHD ,1.35 GHz,32.0,12,35,,FCBGA1787,Q3 2021
11400H,6,12,2.5 GHz,4.5 GHz,,,UHD ,1.45 GHz,16.0,12,35,,FCBGA1787,Q2 2021
11260H,6,12,2.1 GHz,4.4 GHz,,,UHD ,1.40 GHz,16.0,12,35,,FCBGA1787,Q2 2021
11320H,4,8,2.5 GHz,4.5 GHz,,,UHD ,1.35 GHz,96.0,12,28,,FCBGA1449,Q2 2021
11300H ,4,8,2.6 GHz,4.4 GHz,,,UHD ,1.30 GHz,80.0,8,28,,FCBGA1449,Q1 2021
1155G7,4,8,1.0 GHz,4.5 GHz,,,UHD ,1.35 GHz,80.0,8,15,,FCBGA1449,Q2 2021
1145G7,4,8,1.1 GHz,4.4 GHz,,,UHD ,1.30 GHz,80.0,8,15,,FCBGA1449,Q1 2021
1145G7E,4,8,1.5 GHz,4.1 GHz,,,UHD ,1.30 GHz,80.0,8,15,,FCBGA1449,Q3 2020
1145G7E,4,8,1.5 GHz,4.1 GHz,,,UHD ,1.30 GHz,80.0,8,15,,FCBGA1449,Q3 2020
1135G7,4,8,0.9 GHz,4.2 GHz,,,UHD ,1.30 GHz,80.0,8,15,,FCBGA1449,Q3 2020
1130G7,4,8,0.8 GHz,4.0 GHz,,,UHD ,1.10 GHz,80.0,8,15,,FCBGA1598,Q3 2020
1140G7,4,8,0.8 GHz,4.2 GHz,,,UHD ,1.10 GHz,80.0,8,7,,FCBGA1598,Q1 2021
11100HE,4,8,1.9 GHz,4.4 GHz,,,UHD ,1.25 GHz,16.0,8,35,,FCBGA1787,Q3 2021
1125G4,4,8,0.9 GHz,3.7 GHz,,,UHD ,1.25 GHz,48.0,8,15,,FCBGA1449,Q1 2021
1125G4,4,8,0.9 GHz,3.7 GHz,,,UHD ,1.25 GHz,48.0,8,15,,FCBGA1449,Q1 2021
1120G4,4,8,0.8 GHz,3.5 GHz,,,UHD ,1.10 GHz,48.0,8,7,,FCBGA1598,Q1 2021
1115GRE,2,4,1.7 GHz,3.9 GHz,,,UHD ,1.25 GHz,48.0,6,15,,FCBGA1449,Q3 2020
1115G4E,2,4,1.7 GHz,3.9 GHz,,,UHD ,1.25 GHz,48.0,6,15,,FCBGA1449,Q3 2020
1115G4,2,4,1.7 GHz,4.1 GHz,,,UHD ,1.25 GHz,48.0,6,15,,FCBGA1449,Q3 2020
1115G4,2,4,1.7 GHz,4.1 GHz,,,UHD ,1.25 GHz,48.0,6,15,,FCBGA1449,Q3 2020
1110G4,2,4,1.7 GHz,3.9 GHz,,,UHD ,1.10 GHz,48.0,6,7,,FCBGA1598,Q3 2020
Gold 7505,2,4,2.0 GHz,3.9 GHz,,,UHD ,1.25 GHz,48.0,4,7,,FCBGA1449,Q4 2020
6600HE,2,2,2.6 GHz,,,,UHD ,1.10 GHz,16.0,8,35,,FCBGA1787,Q3 2021
6305,2,2,1.8 GHz,,,,UHD ,1.25 GHz,48.0,4,15,,FCBGA1449,Q4 2020
6305E,2,2,1.8 GHz,,,,UHD ,1.25 GHz,48.0,4,15,,FCBGA1449,Q4 2020
